 Point Coordinate Energy Bond1 Bond2
  1  0.32049 -0.0014500  1.35006  1.82489
  2  0.28844 -0.0011300  1.34869  1.84188
  3  0.25639 -0.0008500  1.34735  1.85891
  4  0.22434 -0.0006300  1.34609  1.87598
  5  0.19229 -0.0004400  1.34486  1.89307
  6  0.16024 -0.0002900  1.34369  1.91020
  7  0.12819 -0.0001800  1.34258  1.92736
  8  0.09614 -0.0001000  1.34151  1.94457
  9  0.06409 -0.0000400  1.34050  1.96179
 10  0.03204 -0.0000100  1.33948  1.97898
 11  0.00000  0.0000000  1.33863  1.99631
 12 -0.03205 -0.0000100  1.33771  2.01361
 13 -0.06410 -0.0000300  1.33696  2.03099
 14 -0.09615 -0.0000700  1.33619  2.04836
 15 -0.12820 -0.0001300  1.33547  2.06576
 16 -0.16025 -0.0001900  1.33479  2.08317
 17 -0.19230 -0.0002600  1.33416  2.10061
 18 -0.22435 -0.0003400  1.33356  2.11806
 19 -0.25640 -0.0004200  1.33299  2.13553
 20 -0.28846 -0.0005100  1.33246  2.15302
 21 -0.32051 -0.0006000  1.33196  2.17053
