 Force constants in Cartesian coordinates: 
                1             2             3             4             5 
      1  0.649509D+00
      2 -0.896307D-02  0.114909D+00
      3 -0.237757D-03 -0.924661D-02  0.818708D+00
      4 -0.113731D+00  0.113421D-02  0.679026D-03  0.647901D+00
      5  0.113915D-02 -0.460790D-01  0.421678D-01 -0.970180D-02  0.658855D-01
      6  0.141938D-03  0.821741D-02 -0.519451D+00 -0.144892D-02 -0.800871D-01
      7 -0.272637D+00  0.540729D-03  0.127814D+00  0.448270D-02  0.657035D-03
      8 -0.705579D-04 -0.362397D-01  0.119657D-02  0.758695D-03  0.599780D-02
      9  0.123609D+00 -0.239613D-03 -0.131249D+00  0.296662D-01  0.465717D-03
     10 -0.272271D+00  0.737109D-02 -0.127622D+00  0.443815D-02 -0.607597D-03
     11  0.798027D-02 -0.365675D-01  0.549536D-02 -0.704863D-03  0.603131D-02
     12 -0.123467D+00  0.391890D-02 -0.131229D+00 -0.296337D-01  0.145758D-02
     13  0.431431D-02 -0.172610D-03  0.160444D-02 -0.269234D+00  0.209608D-01
     14 -0.374885D-03  0.454037D-02 -0.587800D-02  0.213668D-01 -0.320218D-01
     15 -0.297357D-01  0.247809D-02 -0.129782D-01 -0.122106D+00  0.140347D-01
     16  0.433570D-02  0.177650D-03 -0.179490D-02 -0.270546D+00 -0.129879D-01
     17  0.383395D-03  0.452017D-02 -0.583854D-02 -0.134075D-01 -0.307568D-01
     18  0.297983D-01  0.148171D-02 -0.129829D-01  0.122650D+00  0.999747D-02
     19  0.480314D-03 -0.879908D-04 -0.443251D-03 -0.331013D-02  0.540292D-03
     20 -0.942959D-04 -0.508319D-02 -0.278965D-01  0.554426D-03  0.309430D-01
     21 -0.108892D-03 -0.660988D-02 -0.108177D-01  0.193412D-03  0.119639D-01
                6             7             8             9            10 
      6  0.797018D+00
      7 -0.191086D-02  0.280847D+00
      8 -0.833336D-03 -0.486630D-03  0.225537D-01
      9 -0.129271D-01 -0.138595D+00 -0.229401D-03  0.137778D+00
     10  0.188184D-02 -0.151543D-01  0.724229D-03 -0.136164D-01  0.280475D+00
     11 -0.899747D-03 -0.955790D-04  0.376746D-02  0.793223D-04 -0.815194D-02
     12 -0.129226D-01  0.136116D-01 -0.377180D-03  0.100176D-01  0.138429D+00
     13 -0.125439D+00  0.102230D-02 -0.514023D-03 -0.216554D-03  0.149975D-02
     14  0.222625D-01 -0.181769D-03 -0.770973D-02 -0.935740D-04  0.136953D-03
     15 -0.129815D+00  0.216841D-03 -0.564159D-03  0.118822D-02  0.932049D-03
     16  0.126248D+00  0.148540D-02 -0.315255D-03 -0.891374D-03  0.103528D-02
     17  0.181127D-01  0.191587D-03  0.113957D-01 -0.108451D-03 -0.108062D-03
     18 -0.129874D+00 -0.915734D-03  0.534101D-03 -0.484861D-02 -0.234962D-03
     19  0.527414D-03 -0.463467D-04 -0.964579D-04  0.445605D-04 -0.229891D-04
     20  0.332276D-01 -0.625373D-03  0.234890D-03  0.126000D-03  0.635334D-03
     21  0.797152D-02 -0.220498D-03  0.273410D-03  0.403935D-04  0.230016D-03
               11            12            13            14            15 
     11  0.228896D-01
     12 -0.488605D-02  0.137756D+00
     13  0.643427D-03  0.885599D-03  0.277607D+00
     14  0.113854D-01 -0.140737D-03 -0.225284D-01  0.302182D-01
     15  0.500773D-03 -0.485033D-02  0.136797D+00 -0.138686D-01  0.136650D+00
     16  0.223322D-03  0.214218D-03 -0.151843D-01 -0.155377D-02  0.133234D-01
     17 -0.772164D-02 -0.992095D-04  0.212816D-02  0.186274D-02 -0.213470D-02
     18 -0.558259D-03  0.118817D-02 -0.133864D-01 -0.169203D-02  0.959872D-02
     19  0.105371D-03 -0.399787D-04 -0.244110D-04  0.313500D-02  0.572382D-03
     20  0.215336D-03  0.126703D-03 -0.517420D-03 -0.827520D-02 -0.446097D-03
     21  0.268607D-03  0.407723D-04 -0.245070D-03 -0.589529D-03  0.206820D-03
               16            17            18            19            20 
     16  0.278993D+00
     17  0.142134D-01  0.289063D-01
     18 -0.137325D+00 -0.932917D-02  0.136712D+00
     19 -0.118873D-03 -0.340099D-02 -0.586405D-03  0.304244D-02
     20  0.242553D-03 -0.820647D-02 -0.433819D-03 -0.195224D-03 -0.982834D-02
     21  0.225752D-03 -0.602638D-03  0.207216D-03 -0.747211D-04 -0.470384D-02
               21 
     21  0.235097D-02
--
 Force constants in Cartesian coordinates: 
                1             2             3             4             5 
      1  0.649411D+00
      2 -0.895578D-02  0.115217D+00
      3 -0.243312D-03 -0.963192D-02  0.823288D+00
      4 -0.113833D+00  0.112852D-02  0.639378D-03  0.647690D+00
